S.no,Linux commands,Syntax,Example,Uses,Information,,
1,cd (or) cd ~,cd (or) cd ~,cd (or) cd ~ ,Used to go to the initial directory,,,
2,cd /,cd /,cd /,Used to go to the / directory,,,
3,cd ..,cd .. ,cd ..,Used to go to previous directory,,,
4,cd ../../../,cd ../../../../..,cd ../../../../../,Used to go to previous folder to previous folder to previous folder etc,here .. Stance for one previous folder (according how many .. We give it will go it),,
5,cd directoryname,cd directoryname,cd var,Used to go to the particular directory which is in current directory,,,
6,cd directorypath,cd directorypath,cd /home/va/tmp,Used to go to the given directory path,,,
7,ls,ls,ls,It will show the files which are in current directory in column wise alphabet order,,,
8,ll,ll,ll,It will the list of files in current directory with detail in alphabet order,,,
9,mkdir,mkdir directoryname,mkdir home,Used to create the new directory,,,
10,vi,vi filename,vi create.sh,Used to open the file (or) creating new file,If there is no file with this given file it will create the new file,,
11,vim,vim filename,vim create.cnf,Used to open the file with colorful coding (or) creating new file ,If there is no file with this given file it will create the new file,,
12,unzip,unzip zipfilename,unzip kvsms.zip,Used to extract the zip file,,,
13,cp,cp filename directorypath,cp kvsms.jar /var/tmp,Used to copy the file to particular directory,,,
14,scp ,scp filename directorypath,scp kvsms.jar /var/tmp,Used to copy the file to particular directory force fully. Even the file exist it will replace with the asking permission,,,
14,tail,tail filename (or) tail path,tail console.log,Show the 10 lines of the files,It will end after 10 lines,,
15,tail -f,tail -f filename (or) tail -f path,tail -f /usr/home/two.ll,Show the updating lines,"It will not end. To end give ""Ctrl+c""",,
16,set nu,set nu,set nu,Used to set the numbers for each lines,,,
17,:1,:1,:1,Moves to the first line ,,,
18,:$,:$,:$,Moves to the end of the line,,,
19,:(number),:(number),:63,Moves to the  particular line ,Here it moves to the 63rd line,,
20,:q,:q,:q,Used to come out of the file,,,
21,:w,:w,:w,Used to save this file ,Saving this file after editing,,
22,:q!,:q!,:q!,Used to come out of the file forcefully,come out even you edit it,,
23,:w!,:w!,:w!,Used to save this file forcefully,,,
24,:wq!,:wq!,:wq!,Used to save and come out of the file forcefully,,,
25,:?,:? Keyword,:? Else,Used to search the particular keyword in the whole file and then the cursor is place in the start of the line,,,
26,:/,:/keyword,:/keyword,Used to search the particular keyword after the cursor and then the cursor is place in the start of the line,,,
27,rm,rm filename,rm connt.sh,Used to remove the file,"It will ask for permission yes or no, give yes or y or no or n",,
28,rm -r,rm -r filename,rm -r super.sh,Used to remove the file and file related cache datas,"It will ask for permission yes or no, give yes or y or no or n",,
29,rm -rf,rm -rf filename,rm -rf one.cnf,Used to remove the file and file related cache datas forcefully,,,
30,du -sh,du -sh,du -sh,Used to check the size of the current directory,,,
31,rmdir,rmdir directoryname,rmdir tmp,Used to remove the directory,,,
32,Escape+u,Escape+u,Press Esc+u simulataneously,Used to undo any changes done in edit mode,,,
33,n,Press n,Press n,Used to move to the next hint of the keyword while searching,,,
34,N,Press N,Press shift+n,Used to move to the previous hint of the keyword while searching,,,
35,Escape,Press Esc,Press Esc,Used to come out of the edit mode,,,
36,Insert (or) i,Press insert (or) press i,Press insert (or) press i,Used to go to edit mode . You can edit now,,,
37,r and press any character,Press r and then press any character,Press r and then press g,Used to replace the single character without going to the edit mode,,,
38,ls -lrt ,ls -lrt (or) ll -lrt,ls -lrt (or) ll -lrt,List recently updated files at bottom,,,
39,ls -lt,ls -lt (or) ll -lt,ls -lt (or) ll -lt,List recently updated files at top,,,
40,ls | wc -l,ls |wc -l,ls |wc -l,Give the number of files in the current directory,,,
41,ls *.extension | wc -l,ls *.exe | wc -l,ls *.jar | wc -l,Give the number of files in given extension in current directory,,,
42,ll -a,ll -a,ll -a,Shows all files including the hidden files in details,,,
43,ls -a,ls -a,ls -a,Shows all files including the hidden files,,,
44,cat,cat filename (or) cat pathname,cat /usr/local/two.sh (or) cat three.ln,It will show the content of the file,Useful for file with less lines,,
45,more,more filename (or) more pathname,more home/user/dd.s (or) more dd.sh,It will show the content of the file,Useful for file with more lines,,
46,Ctrl+c,Press ctrl + c simulateously,Press Ctrl and C simulateously,It will come out of the ongoing logs/comments,,,
47,Ctrl+l,Press Ctrl + L simulateously,Press Ctrl and l simulateously,Used to clear the screen,,,
48,head ,head filename (or) head path,head three.sh (or) head /use/hom/ttnn.jar,Used to display the first 10 lines of the file,,,
49,head -number,head -numberoflines filename,head -10 three.sh,Used to display the upto the given lines of the files,Display the first 10 lines of the three.sh,,
50,touch,touch filename,touch one.txt,Used to create the new emty file,If you give for existing file the modification time only change,,
51,>,>filename,>condole.log,Its used to delete all the content of the file,,,
52,cp -r ,cp -r directoryname path,cp -r others /usr/robin/,Used to copy the directory to the given path,,,
